C'	ce	PROdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=n	CAS=x
leur	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=p	GENRE=x	CAS=i
devait	devoir	VERcjg	MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=s	GENRE=x	CAS=x
venir	venir	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
raconter	raconter	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
une	un	DETndf	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
histoire	histoire	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
dont	dont	PROrel	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=r
il	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=m	CAS=n
leur	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=x	CAS=i
avait	avoir	VERcjg	MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=s	GENRE=x	CAS=x
fait	faire	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
grand	grand	ADJqua	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
récit	récit	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
quelques	quelque	DETind	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
jours	jour	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=m	CAS=x
auparavant	auparavant	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
.	.	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Pendant	pendant	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
qu'	que	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
elles	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=p	GENRE=f	CAS=x
étaient	être	VERcjg	MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=p	GENRE=x	CAS=x
dans	dans	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
cette	ce	DETdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
impatience	impatience	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
je	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=n
vins	venir	VERcjg	MODE=ind	TEMPS=psp	PERS.=1	NOMB.=s	GENRE=x	CAS=x
par	par	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
hasard	hasard	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
visiter	visiter	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
la	le	DETdef	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
maîtresse	maître	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
de	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
cette	ce	DETdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
charmante	charmer	VERppa	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
maison	maison	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
qui	qui	PROrel	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=n
ne	ne	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
m'	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=r
eut	avoir	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
pas	pas	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
plus	plus	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
tôt	tôt	ADVgen	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
reconnu	reconnaître	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
qu'	que	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
elle	il	PROper	MODE=x	TEMPS=x	PERS.=3	NOMB.=s	GENRE=f	CAS=n
me	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=r
dit	dire	VERcjg	MODE=ind	TEMPS=psp	PERS.=3	NOMB.=s	GENRE=x	CAS=x
:	:	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
-	-	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
Je	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=n
ne	ne	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
sais	savoir	VERcjg	MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s	GENRE=x	CAS=x
si	si	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
votre	votre	DETpos	MODE=x	TEMPS=x	PERS.=2	NOMB.=s	GENRE=f	CAS=x
arrivée	arrivée	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
n'	ne	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
aura	avoir	VERcjg	MODE=ind	TEMPS=fut	PERS.=3	NOMB.=s	GENRE=x	CAS=x
point	point	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
causé	causer	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
de	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
chagrin	chagrin	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
à	à	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
ces	ce	DETdem	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=f	CAS=x
dames	dame	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=p	GENRE=f	CAS=x
,	,	PONfbl	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
mais	mais	CONcoo	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
je	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=n
vous	vous	PROper	MODE=x	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
avoue	avouer	VERcjg	MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s	GENRE=x	CAS=x
que	que	CONsub	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
je	je	PROper	MODE=x	TEMPS=x	PERS.=1	NOMB.=s	GENRE=x	CAS=n
ne	ne	ADVneg	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
vous	vous	PROper	MODE=x	TEMPS=x	PERS.=2	NOMB.=p	GENRE=x	CAS=x
ai	avoir	VERcjg	MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s	GENRE=x	CAS=x
pu	pouvoir	VERppe	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
voir	voir	VERinf	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
sans	sans	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
quelque	quelque	DETind	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
sorte	sorte	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=f	CAS=x
de	de	PRE	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
dépit	dépit	NOMcom	MODE=x	TEMPS=x	PERS.=x	NOMB.=s	GENRE=m	CAS=x
.	.	PONfrt	MODE=x	TEMPS=x	PERS.=x	NOMB.=x	GENRE=x	CAS=x
