form	lemma	POS	morph
la	le	DETdef	NOMB.=s|GENRE=f
camusette	camusette	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Tout	tout	DETind	MORPH=empty
ententif	ententif	ADJqua	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
son	son	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
musette	musette	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Dont	que	PROrel	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
faisois	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s
resonner	résonner	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
valee	vallée	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Ores	ores	ADVgen	MORPH=empty
tout	tout	PRE	NOMB.=s|GENRE=m
morne	morne	NOMcom	NOMB.=s|GENRE=f
avec	avec	PRE	MORPH=empty
chere	chère	NOMcom	NOMB.=s|GENRE=f
avalee	avaler	VERppe	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f
barbe	barbe	NOMcom	NOMB.=s|GENRE=f
longue	long	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
cheveux	cheveu	NOMcom	NOMB.=p|GENRE=m
sans	sans	PRE	MORPH=empty
ordre	ordre	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
voy	voir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fors	fors	PRE	MORPH=empty
bras	bras	NOMcom	NOMB.=p|GENRE=m
&	et	CONcoo	MORPH=empty
mains	main	NOMcom	NOMB.=p|GENRE=f
destordre	détordre	VERinf	MORPH=empty
A	à	PRE	MORPH=empty
basse	bas	ADJqua	NOMB.=s|GENRE=f
voix	voix	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
mots	mot	NOMcom	NOMB.=p|GENRE=m
entrecouppez	entrecouper	VERppe	NOMB.=p|GENRE=m
De	de	PRE	MORPH=empty
maints	maint	DETind	NOMB.=p
souspirs	soupir	NOMcom	NOMB.=p|GENRE=m
par	par	PRE	MORPH=empty
sanglots	sanglot	NOMcom	NOMB.=p|GENRE=m
sincopez	syncoper	VERppe	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
(	(	PONpga	MORPH=empty
tout	tout	PRE	NOMB.=s|GENRE=m
ainsi	ainsi	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
en	en	ADVgen	MORPH=empty
estroite	étroit	ADJqua	NOMB.=s|GENRE=f
fornaise	fournaise	NOMcom	NOMB.=s|GENRE=f
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
voit	voir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grand	grand	ADJqua	NOMB.=s|GENRE=m
feu	feu	NOMcom	NOMB.=s|GENRE=m
sortir	sortir	VERinf	MORPH=empty
mal	mal	ADVgen	MORPH=empty
à	à	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
ayse	aise	NOMcom	NOMB.=s|GENRE=f
)	)	PONpdr	MORPH=empty
Dedens	dedans	PRE	MORPH=empty
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
bouche	bouche	NOMcom	NOMB.=s|GENRE=f
ensemble	ensemble	ADVgen	MORPH=empty
s'	le	PROper	
entrebattent	entrebattre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
:	:	PONfbl	MORPH=empty
Voire	voire	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
sorte	sorte	NOMcom	NOMB.=s|GENRE=f
entre	entre	PRE	MORPH=empty
eux	le	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
debattent	débattre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
Qu'	que	CONsub	
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
diroit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
non	non	ADVgen	MORPH=empty
en	en	ADVgen	MORPH=empty
le	le	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
recitant	réciter	VERppa	NOMB.=x|GENRE=x
,	,	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
à	à	PRE	MORPH=empty
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
voir	voir	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
quelque	quelque	DETind	NOMB.=s|GENRE=m
febricitant	fébricitant	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
à	à	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
fin	fin	NOMcom	NOMB.=s|GENRE=f
douloureusement	douloureusement	ADVgen	MORPH=empty
tire	tirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
PHILERME	Philerme	NOMpro	NOMB.=s|GENRE=m
O	ô	INJ	MORPH=empty
fortuné	fortuné	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
bienheureux	bienheureux	ADJqua	NOMB.=s|GENRE=f
Antire	Antire	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Depuis	depuis	PRE	MORPH=empty
Doris	Doris	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
premiere	premier	ADJord	NOMB.=s|GENRE=f
liesse	liesse	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Ou	que	PROrel	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
passay	passer	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
sans	sans	PRE	MORPH=empty
ennuy	ennui	NOMcom	NOMB.=s|GENRE=f
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
jeunesse	jeunesse	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
perdis	perdre	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
en	en	ADVgen	MORPH=empty
ceste	ce	DETdem	NOMB.=s|GENRE=f
autre	autre	ADJind	NOMB.=s|GENRE=x
Belline	Belline	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
A	à	PRE	MORPH=empty
qui	qui	PROrel	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
ame	âme	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
s'	le	PROper	
incline	incliner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
M'	je	PROper	
asservissant	asservir	VERppa	NOMB.=x|GENRE=x
soubs	sous	PRE	MORPH=empty
celle	ce	DETdem	NOMB.=s|GENRE=f
grand'	grand	ADJqua	
beauté	beauté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
cele	celer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	ADVgen	MORPH=empty
soy	soi	PROper	NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
douce	doux	ADJqua	NOMB.=s|GENRE=f
cruauté	cruauté	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Ou	que	PROrel	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
nourrit	nourrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ce	ce	DETdem	NOMB.=s|GENRE=m
jeune	jeune	ADJqua	NOMB.=s|GENRE=m
Enfant	enfant	NOMcom	NOMB.=s|GENRE=m
aveugle	aveugle	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
tellement	tellement	ADVgen	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=x
,	,	PONfbl	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
amans	amant	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
aveugle	aveugle	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
par	par	PRE	MORPH=empty
rigueur	rigueur	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
qu'	que	PROrel	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=x
tient	tenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=x
attire	attirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Trop	trop	ADVgen	MORPH=empty
voulenteux	volenteux	ADJqua	NOMB.=s|GENRE=f
à	à	PRE	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
aspre	âpre	ADJqua	NOMB.=s|GENRE=f
martyre	martyre	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Quoy	quoi	PROrel	MORPH=empty
congnoissant	connaître	VERppa	NOMB.=x|GENRE=x
ceste	ce	DETdem	NOMB.=s|GENRE=f
douce	doux	ADJqua	NOMB.=s|GENRE=f
rebelle	rebelle	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
monstre	montrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
si	si	ADVgen	MORPH=empty
cruellement	cruellement	ADVgen	MORPH=empty
belle	beau	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
rien	rien	PROind	NOMB.=s|GENRE=x
ne	ne	ADVneg	MORPH=empty
vault	valoir	VERinf	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
prier	prier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
plaindre	plaindre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
plorer	pleurer	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Crier	crier	VERinf	MORPH=empty
mercy	merci	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
à	à	PRE	MORPH=empty
genoux	genou	NOMcom	NOMB.=p|GENRE=m
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
adorer	adorer	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Ne	ni	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
presens	présent	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
ne	ni	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
pleurs	pleur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
qu'	que	PROrel	MORPH=empty
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sceu	savoir	VERppe	NOMB.=s|GENRE=m
rendre	rendre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Onc	onques	ADVgen	MORPH=empty
n'	ne	ADVneg	MORPH=empty
ha	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
voulu	vouloir	VERppe	NOMB.=s|GENRE=m
(	(	PONpga	MORPH=empty
ô	ô	INJ	MORPH=empty
Dieux	dieu	NOMcom	NOMB.=p|GENRE=m
piteux	piteux	ADJqua	NOMB.=p|GENRE=m
)	)	PONpdr	MORPH=empty
entendre	entendre	VERinf	MORPH=empty
A	à	PRE	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
donner	donner	VERinf	MORPH=empty
tant	tant	ADVgen	MORPH=empty
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
peu	peu	ADVgen	MORPH=empty
d'	de	PRE	MORPH=empty
esperance	espérance	NOMcom	NOMB.=s|GENRE=f
D'	de	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
un	un	DETind	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m
maux	mal	NOMcom	NOMB.=p|GENRE=m
allegeance	allégeance	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
Parquoy	par_quoi	PRE.PROrel	NOMB.=s|GENRE=f
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
tant	tant	ADVgen	MORPH=empty
haye	haie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
O	ô	INJ	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
heureux	heureux	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Pastoureaux	pastoureau	NOMcom	NOMB.=p|GENRE=m
d'	de	PRE	MORPH=empty
Achaye	Achaïe	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
en	en	ADVgen	MORPH=empty
Argire	Argire	NOMpro	NOMB.=s
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
celle	ce	DETdem	NOMB.=s|GENRE=f
fontaine	fontaine	NOMcom	NOMB.=s|GENRE=f
Contre	contre	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
amour	amour	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
feu	feu	NOMcom	NOMB.=s|GENRE=m
souveraine	souverain	ADJqua	NOMB.=s|GENRE=f
Sur	sur	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
rivage	rivage	NOMcom	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
fluant	fluer	VERppa	NOMB.=x|GENRE=x
Selemnon	Selemnon	NOMpro	NOMB.=s
,	,	PONfbl	MORPH=empty
Fontaine	fontaine	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
vray	vrai	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
tres	très	ADVgen	MORPH=empty
excellent	excellent	ADJqua	NOMB.=s|GENRE=m
nom	nom	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Ou	que	PROrel	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
allez	aller	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
estaindre	éteindre	VERinf	MORPH=empty
vostre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
ardeur	ardeur	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Eusse	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
,	,	PONfbl	MORPH=empty
làs	las	INJ	MORPH=empty
,	,	PONfbl	MORPH=empty
autant	autant	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
bien	bien	NOMcom	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
d'	de	PRE	MORPH=empty
heur	heur	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Que	que	PROrel	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=x
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
dequoy	de_quoi	PRE.PROrel	NOMB.=s|GENRE=f
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
envie	envie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Comme	comme	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
present	présent	NOMcom	NOMB.=s|GENRE=m
fort	fort	ADVgen	MORPH=empty
duisant	duire	VERppa	NOMB.=x|GENRE=x
à	à	PRE	MORPH=empty
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Vie	vie	NOMcom	NOMB.=s|GENRE=f
plus	plus	ADVgen	MORPH=empty
morte	mourir	VERppe	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
