form	lemma	POS	morph
n'	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
comprendre	comprendre	VERinf	MORPH=empty
rien	rien	PROind	NOMB.=s|GENRE=n
.	.	PONfrt	MORPH=empty
Quelques	quelque	DETind	NOMB.=p|GENRE=m
puissants	puissant	ADJqua	NOMB.=p|GENRE=m
appas	appât	NOMcom	NOMB.=p|GENRE=m
que	que	PROrel	MORPH=empty
possède	posséder	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Amarante	Amarante	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
trouve	trouver	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
qu'	que	CONsub	MORPH=empty
après	après	PRE	MORPH=empty
tout	tout	PROind	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que	CONsub	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
suivante	suivante	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
puis	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
songer	songer	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
condition	condition	NOMcom	NOMB.=s|GENRE=f
Que	que	CONsub	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
amour	amour	NOMcom	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
cède	céder	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
ambition	ambition	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Ainsi	ainsi	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
malgré	malgré	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
ardeur	ardeur	NOMcom	NOMB.=s|GENRE=f
qui	qui	PROrel	MORPH=empty
pour	pour	PRE	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
presse	presser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
À	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
fin	fin	NOMcom	NOMB.=s|GENRE=f
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
levé	lever	VERppe	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
yeux	œil	NOMcom	NOMB.=p|GENRE=m
sur	sur	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
maîtresse	maîtresse	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Où	où	PROrel	NOMB.=x|GENRE=x|CAS=i
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
dessein	dessein	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
plus	plus	ADVgen	MORPH=empty
haut	haut	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
plus	plus	ADVgen	MORPH=empty
laborieux	laborieux	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
promet	promettre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
des	un	DETndf	NOMB.=p|GENRE=m
succès	succès	NOMcom	NOMB.=p|GENRE=m
beaucoup	beaucoup	ADVgen	MORPH=empty
plus	plus	ADVgen	MORPH=empty
glorieux	glorieux	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
lors	lors	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
soit	soit	CONcoo	MORPH=empty
qu'	que	CONsub	MORPH=empty
Amarante	Amarante	NOMpro	NOMB.=s|GENRE=f
eût	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
pour	pour	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
quelque	quelque	DETind	NOMB.=s|GENRE=f
flamme	flamme	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Soit	soit	CONcoo	MORPH=empty
qu'	que	CONsub	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
pénétrât	pénétrer	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
jusqu'	jusque	PRE	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
fond	fond	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
âme	âme	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
malicieuse	malicieux	ADJqua	NOMB.=s|GENRE=f
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
prît	prendre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
plaisir	plaisir	NOMcom	NOMB.=s|GENRE=m
À	à	PRE	MORPH=empty
rompre	rompre	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
effets	effet	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
nouveau	nouveau	ADJqua	NOMB.=s|GENRE=m
désir	désir	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
savait	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
toujours	toujours	ADVgen	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
arrêter	arrêter	VERinf	MORPH=empty
auprès	auprès	PRE	MORPH=empty
d'	de	PRE	MORPH=empty
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
À	à	PRE	MORPH=empty
tenir	tenir	VERinf	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=x
propos	propos	NOMcom	NOMB.=p|GENRE=m
d'	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
suite	suite	NOMcom	NOMB.=s|GENRE=f
éternelle	éternel	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
L'	le	DETdef	NOMB.=s|GENRE=f
ardeur	ardeur	NOMcom	NOMB.=s|GENRE=f
qui	qui	PROrel	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
brûlait	brûler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
parler	parler	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
Daphnis	Daphnis	NOMpro	NOMB.=s|GENRE=f
Me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
fournissait	fournir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
en	en	PRE	MORPH=empty
vain	vain	NOMcom	NOMB.=s|GENRE=m
des	un	DETndf	NOMB.=p|GENRE=x
détours	détour	NOMcom	NOMB.=p|GENRE=m
infinis	infini	ADJqua	NOMB.=p|GENRE=m
;	;	PONfbl	MORPH=empty
Elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
usait	user	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
droits	droit	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
toute	tout	ADVgen	MORPH=empty
impérieuse	impérieux	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
D'	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
voix	voix	NOMcom	NOMB.=s|GENRE=f
demi-gaie	demi-gai	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
demi-sérieuse	demi-sérieux	ADJqua	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
quand	quand	CONsub	MORPH=empty
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
des	un	DETndf	NOMB.=p|GENRE=x
serviteurs	serviteur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
c'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pour	pour	PRE	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
entretenir	entretenir	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Disait	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
-elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
;	;	PONfbl	MORPH=empty
autrement	autrement	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
sais	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bien	bien	ADVgen	MORPH=empty
punir	punir	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
devoirs	devoir	NOMcom	NOMB.=p|GENRE=m
près	près	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
n'	ne	ADVneg	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
rien	rien	PROind	NOMB.=s|GENRE=x
qui	qui	PROrel	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
excuse	excuser	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Maintenant	maintenant	ADVgen	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
devine	deviner	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
à	à	PRE	MORPH=empty
peu	peu	ADVgen	MORPH=empty
près	près	ADVgen	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
ruse	ruse	NOMcom	NOMB.=s|GENRE=f
Que	que	CONsub	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
autre	autre	PROind	NOMB.=s|GENRE=x
en	en	PRE	MORPH=empty
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
place	place	NOMcom	NOMB.=s|GENRE=f
à	à	PRE	MORPH=empty
peine	peine	NOMcom	NOMB.=s|GENRE=f
entreprendrait	entreprendre	VERcjg	MODE=con|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
écoute	écouter	VERcjg	MODE=imp|PERS.=2|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
verras	voir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
si	si	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
maladroit	maladroit	ADJqua	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
sais	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
comme	comme	CONsub	MORPH=empty
Florame	Florame	NOMpro	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
beaux	beau	ADJqua	NOMB.=p|GENRE=m
visages	visage	NOMcom	NOMB.=p|GENRE=m
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
civilité	civilité	NOMcom	NOMB.=s|GENRE=f
toujours	toujours	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
feints	feindre	VERppe	NOMB.=p|GENRE=m
hommages	hommage	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
sans	sans	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
d'	de	PRE	MORPH=empty
amour	amour	NOMcom	NOMB.=s|GENRE=m
offrant	offrir	VERppa	NOMB.=x|GENRE=x
partout	partout	ADVgen	MORPH=empty
des	un	DETndf	NOMB.=p|GENRE=m
voeux	vœu	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Traite	traiter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
peu	peu	ADVgen	MORPH=empty
d'	de	PRE	MORPH=empty
esprit	esprit	NOMcom	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
véritables	véritable	ADJqua	NOMB.=p|GENRE=m
feux	feu	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Un	un	DETndf	NOMB.=s|GENRE=m
jour	jour	NOMcom	NOMB.=s|GENRE=m
qu'	que	PROrel	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
se	se	PROper	PERS.=3|NOMB.=x|GENRE=x|CAS=x
vantait	vanter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
cette	ce	DETdem	NOMB.=s|GENRE=f
humeur	humeur	NOMcom	NOMB.=s|GENRE=f
étrange	étrange	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
À	à	PRE	MORPH=empty
qui	qui	PROrel	MORPH=empty
chaque	chaque	DETind	NOMB.=s|GENRE=x
objet	objet	NOMcom	NOMB.=s|GENRE=m
plaît	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
pas	pas	ADVneg	MORPH=empty
un	un	PROcar	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
range	ranger	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
reprochait	reprocher	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
tous	tout	PROind	NOMB.=p|GENRE=m
que	que	CONsub	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=m
peu	peu	PROind	MORPH=empty
de	de	PRE	MORPH=empty
beauté	beauté	NOMcom	NOMB.=s|GENRE=f
Lui	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=i
laissait	laisser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
si	si	ADVgen	MORPH=empty
longtemps	longtemps	ADVgen	MORPH=empty
garder	garder	VERinf	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
liberté	liberté	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Florame	Florame	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
dis	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
-je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
alors	alors	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
ton	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
âme	âme	NOMcom	NOMB.=s|GENRE=f
indifférente	indifférent	ADJqua	NOMB.=s|GENRE=f
Ne	ne	ADVneg	MORPH=empty
tiendrait	tenir	VERcjg	MODE=con|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
fort	fort	ADVgen	MORPH=empty
peu	peu	ADVgen	MORPH=empty
contre	contre	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
Amarante	Amarante	NOMpro	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
«	«	PONpga	MORPH=empty
Théante	Théante	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
-il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
faudrait	falloir	VERcjg	MODE=con|PERS.=3|NOMB.=s
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
éprouver	éprouver	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
éprouvant	éprouver	VERppa	NOMB.=x|GENRE=x
peut-être	peut-être	ADVgen	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|GENRE=x|CAS=n
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=r
ferait	faire	VERcjg	MODE=con|PERS.=3|NOMB.=s
rêver	rêver	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
feu	feu	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	MORPH=empty
ne	ne	ADVneg	MORPH=empty
serait	être	VERcjg	MODE=con|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
pure	pur	ADJqua	NOMB.=s|GENRE=f
courtoisie	courtoisie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
La	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
remplirait	remplir	VERcjg	MODE=con|PERS.=3|NOMB.=s
d'	de	PRE	MORPH=empty
amour	amour	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
toi	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=i
de	de	PRE	MORPH=empty
jalousie	jalousie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
réplique	répliquer	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
repart	repartir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=x
tombons	tomber	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
d'	de	PRE	MORPH=empty
accord	accord	NOMcom	NOMB.=s|GENRE=m
Qu'	que	CONsub	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
hasard	hasard	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
succès	succès	NOMcom	NOMB.=s|GENRE=m
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
y	y	PROadv	MORPH=empty
ferait	faire	VERcjg	MODE=con|PERS.=3|NOMB.=s
effort	effort	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ainsi	ainsi	ADVgen	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=r
introduis	introduire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
tour	tour	NOMcom	NOMB.=s|GENRE=m
d'	de	PRE	MORPH=empty
adresse	adresse	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pour	pour	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
céder	céder	VERinf	MORPH=empty
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
maîtresse	maîtresse	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Engageant	engager	VERppa	NOMB.=x|GENRE=x
Amarante	Amarante	NOMpro	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
Florame	Florame	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
discours	discours	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
J'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
entretiens	entretenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
à	à	PRE	MORPH=empty
loisir	loisir	NOMcom	NOMB.=s|GENRE=m
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=f
nouvelles	nouveau	ADJqua	NOMB.=p|GENRE=f
amours	amour	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Fut	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
-elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
sur	sur	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
point	point	NOMcom	NOMB.=s|GENRE=m
ou	ou	CONcoo	MORPH=empty
